ADM2_EN,date,temperature_2m,temperature_2m_max,temperature_2m_min,total_precipitation_sum
Akko,2024-05-06,305.8053117,311.8278195,301.3117325,0.001502
Akoko-Edo,2024-05-01,301.8050959,307.9184492,298.9351297,0.00182
Akoko-Edo,2024-05-02,301.4844662,307.1367919,298.3491894,0.0007417
Akoko-Edo,2024-05-03,301.4154384,307.1322039,298.4610311,0.0014261
Akoko-Edo,2024-05-04,301.8779453,308.0657053,297.6323576,0.0005853
Akoko-Edo,2024-05-05,302.074373,308.5720914,298.3810529,0.0019437
Akoko-Edo,2024-05-06,302.3145721,308.3165236,298.4647358,0.0001756
Akoko North East,2024-05-01,301.1621541,307.0641093,298.5236014,0.0029531
Akoko North East,2024-05-02,301.0381733,307.2735674,297.6888092,0.0007672
Akoko North East,2024-05-03,300.8415424,306.8240756,298.0463936,0.0024692
Akoko North East,2024-05-04,301.3456354,307.6392285,297.2292244,0.0001263
Akoko North East,2024-05-05,301.5246779,307.9609781,297.9788393,0.0010851
Akoko North East,2024-05-06,301.7407044,308.2985083,297.9896712,0.000411
Akoko North West,2024-05-01,300.8573892,306.8159339,298.2833137,0.0036796
Akoko North West,2024-05-02,300.7975772,307.0298406,297.2954904,0.0005121
Akoko North West,2024-05-03,300.5170818,306.4960896,297.7146172,0.0026626
Akoko North West,2024-05-04,301.0667813,307.3388311,296.9743192,0.0001415
Akoko North West,2024-05-05,301.2170307,307.4160629,297.6068444,0.0006936
Akoko North West,2024-05-06,301.397002,308.0777713,297.6598405,0.0005335
Akoko South East,2024-05-01,301.3011211,307.1557068,298.5959494,0.0030523
Akoko South East,2024-05-02,301.1124756,307.3419806,297.8864902,0.0010612
Akoko South East,2024-05-03,300.9638396,306.8668352,298.1795818,0.0027388
Akoko South East,2024-05-04,301.4500845,307.6955802,297.2842306,0.0001083
Akoko South East,2024-05-05,301.6408769,308.2872005,298.1135829,0.001506
Akoko South East,2024-05-06,301.8704874,308.2487887,298.0835886,0.000439
Akoko South West,2024-05-01,301.0961606,307.0165429,298.5931738,0.0026076
Akoko South West,2024-05-02,300.9612546,306.9662973,297.9721925,0.0008243
Akoko South West,2024-05-03,300.8131986,306.7300418,298.3118413,0.0019249
Akoko South West,2024-05-04,301.2585341,307.4876265,297.3061924,0.0002214
Akoko South West,2024-05-05,301.5635549,307.7687088,298.2472618,0.0014341
Akoko South West,2024-05-06,301.614847,307.7720592,298.2167549,0.0002854
Akpabuyo,2024-05-01,300.8154617,304.7995502,298.1566027,0.0193636
Akpabuyo,2024-05-02,300.1949076,303.7672002,298.5541961,0.013645
Akpabuyo,2024-05-03,299.7374436,301.8379361,298.0328314,0.0142564
Akpabuyo,2024-05-04,301.0185086,303.468318,298.8718098,0.0011432
Akpabuyo,2024-05-05,301.1880083,304.4135681,298.2394109,0.0055745
Akpabuyo,2024-05-06,301.054686,303.9849205,298.7695965,0.0085223
Akuku Toru,2024-05-01,301.5404129,304.2254363,300.3067045,0.0118585
Akuku Toru,2024-05-02,300.8064588,303.3801512,299.3468143,0.0134555
Akuku Toru,2024-05-03,300.5577525,302.4558568,299.0669166,0.0080815
Akuku Toru,2024-05-04,301.8887148,304.3037843,300.0524857,0.0017177
Akuku Toru,2024-05-05,301.8625099,304.5174907,299.4688967,0.0015261
Akuku Toru,2024-05-06,301.2373441,303.0651668,299.8165153,0.0074981
Akure North,2024-05-01,300.6258269,306.2389163,298.7092344,0.0041899
Akure North,2024-05-02,300.4493844,305.4776134,298.14747,0.0010756
Akure North,2024-05-03,300.1747529,305.2754713,297.8745565,0.004986
Akure North,2024-05-04,300.4741628,306.2886963,297.1460205,0.000527
Akure North,2024-05-05,301.0789788,306.2399234,298.0371888,0.0014155
Akure North,2024-05-06,300.6244013,305.2915068,298.0951518,0.0004159
Akure South,2024-05-01,300.414445,305.6926663,298.5770232,0.0059848
Akure South,2024-05-02,300.2601308,304.8252192,298.1322997,0.0010957
Akure South,2024-05-03,299.9508106,304.8177359,297.6646651,0.0064208
Akure South,2024-05-04,300.1872556,305.751448,297.0087177,0.0007197
Akure South,2024-05-05,300.8431186,305.7315077,297.8734346,0.0014152
Akure South,2024-05-06,300.3270969,304.6180255,298.0859787,0.000364
Akwanga,2024-05-01,304.4432068,309.6914273,299.2556553,0.0029931
Akwanga,2024-05-02,302.8665551,307.8429576,299.0751448,0.0004694
Akwanga,2024-05-03,302.8978307,307.4954476,299.4761295,0.0002247
Akwanga,2024-05-04,303.2616497,308.2446829,299.2526429,0.0006035
Akwanga,2024-05-05,303.3250376,307.2065543,299.8516683,0.0001099
Akwanga,2024-05-06,303.4897653,308.834313,299.1159689,0.0044965
Albasu,2024-05-01,307.072716,313.8209456,300.4446323,1.7942656e-06
Albasu,2024-05-02,306.6530626,313.5759859,300.9419156,2.52e-05
Albasu,2024-05-03,306.3544291,312.4071282,300.6549915,0
Albasu,2024-05-04,306.815445,313.4105907,300.4854016,1.635119e-06
Albasu,2024-05-05,307.4823169,314.3902814,300.5897747,8.7022784e-07
Albasu,2024-05-06,306.5900997,313.1351449,300.1552832,7.3603208e-07
Aleiro,2024-05-01,308.6201952,315.1525319,301.734717,8.5234632e-07
Aleiro,2024-05-02,307.714439,313.7409819,303.3551485,0.0004628
Aleiro,2024-05-03,308.3856693,313.4957455,303.0818142,1.1e-05
Aleiro,2024-05-04,308.9722766,314.7892704,303.3427851,1.2814998e-06
Aleiro,2024-05-05,309.2234278,314.8944232,303.4425001,8.7022784e-07
Aleiro,2024-05-06,307.7986351,314.2045433,301.8378561,0.0036982
Alimosho,2024-05-01,302.5315646,305.3368602,300.835734,0.0007966
Alimosho,2024-05-02,302.3661441,305.3128504,300.2696582,0.0011879
Alimosho,2024-05-03,301.9271388,305.9306315,299.7628917,0.0047992
Alimosho,2024-05-04,302.2315224,305.460952,299.7928284,0.0004917
Alimosho,2024-05-05,302.6750665,305.3644134,300.3287785,0.000527
Alimosho,2024-05-06,302.2991092,305.8018179,300.1039913,0.0015364
Alkaleri,2024-05-01,308.6905945,314.0459288,303.4651935,6.2691125e-06
Alkaleri,2024-05-02,306.9800968,312.176126,301.4805437,5.98e-05
Alkaleri,2024-05-03,306.7316305,312.0735528,302.4478252,3.42e-05
Alkaleri,2024-05-04,306.095769,312.160975,300.1415375,8.33e-05
Alkaleri,2024-05-05,306.4944501,311.9345777,301.7137052,0.0001078
Alkaleri,2024-05-06,305.8568436,311.9781244,301.3375353,0.0007843
Amuwo-Odofin,2024-05-01,302.5698433,304.7311938,301.2406409,0.0009508
Amuwo-Odofin,2024-05-02,302.5183984,304.5930762,300.3645016,0.0019492
Amuwo-Odofin,2024-05-03,302.1058782,304.8894745,300.307129,0.0036507
Amuwo-Odofin,2024-05-04,302.4068881,304.8786215,299.9316101,0.0003471
Amuwo-Odofin,2024-05-05,303.0167615,305.0500912,301.3548571,0.0003992
Amuwo-Odofin,2024-05-06,302.3795917,304.8570734,300.4660669,0.0033512
Anambra East,2024-05-01,302.8600877,309.6585065,300.0636939,0.0014473
Anambra East,2024-05-02,301.8988081,307.3418928,299.6328191,0.0018676
Anambra East,2024-05-03,301.9993912,307.2819226,299.5541343,0.0033889
Anambra East,2024-05-04,302.5634153,308.3092653,299.4497671,0.0021562
Anambra East,2024-05-05,303.136964,309.0972333,299.1075255,0.0011036
Anambra East,2024-05-06,302.8740002,307.3190124,299.9450701,0.0003447
Anambra West,2024-05-01,303.4051921,310.342919,300.4729965,0.0014572
Anambra West,2024-05-02,302.4079189,307.7189776,300.0466622,0.0009602
Anambra West,2024-05-03,302.5925362,307.8903418,300.0139424,0.0031676
Anambra West,2024-05-04,303.0437547,308.925551,299.8376357,0.0033915
Anambra West,2024-05-05,303.6121321,309.497948,299.5998518,0.0004551
Anambra West,2024-05-06,303.3849861,308.1827501,300.4113085,0.0002726
Anaocha,2024-05-01,301.6740889,308.072928,299.1467299,0.0057024
Anaocha,2024-05-02,300.6086575,305.8478569,298.6653608,0.0051221
Anaocha,2024-05-03,300.6516032,305.417908,298.5388361,0.006948
Anaocha,2024-05-04,301.2546526,306.731062,298.1982229,0.003672
Anaocha,2024-05-05,301.6022166,307.5326801,297.9227675,0.0053859
Anaocha,2024-05-06,301.5471362,305.8108153,298.7115959,0.0007452
Andoni,2024-05-01,301.2353288,303.6832814,299.7514764,0.0141586
Andoni,2024-05-02,300.6370755,302.7121503,299.393955,0.013962
Andoni,2024-05-03,300.4687628,302.2524616,298.8813141,0.0146846
Andoni,2024-05-04,301.943111,303.8089907,299.9152368,0.0007056
Andoni,2024-05-05,301.7762823,303.7649057,299.9474015,0.0031463
Andoni,2024-05-06,301.3173873,302.8350205,299.8780225,0.006859
Aninri,2024-05-01,303.2809856,309.853064,300.6541273,0.0017376
Aninri,2024-05-02,302.0087416,306.605763,299.8019178,0.0009578
Aninri,2024-05-03,301.7088708,306.6973362,299.5653436,0.0051981
Aninri,2024-05-04,302.3629369,307.1153387,299.0400738,0.0008668
Aninri,2024-05-05,302.8328059,308.960597,299.3567539,0.0031566
Aninri,2024-05-06,303.0115818,307.604753,299.9106508,0.0008126
Aniocha North,2024-05-01,301.3721803,307.8232934,298.6541231,0.0053862
Aniocha North,2024-05-02,300.5728256,305.6843573,298.6222494,0.0023094
Aniocha North,2024-05-03,300.9359327,306.0500614,298.6678803,0.0020455
Aniocha North,2024-05-04,301.3852868,307.362142,298.565024,0.0043045
Aniocha North,2024-05-05,301.9825059,308.11671,298.0547768,0.0015968
Aniocha North,2024-05-06,301.6109751,306.2992776,298.8567485,0.000462
Aniocha South,2024-05-01,301.4884995,307.8357805,299.0194058,0.0066157
Aniocha South,2024-05-02,300.755236,305.8540765,298.7477427,0.0026492
