adm3_name,adm3_name1,adm3_name2,adm3_name3,adm3_pcode,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,cod_versio,lang,lang1,lang2,lang3,adm0_en,adm3_ref_n,center_lat,center_lon,total_pop_reprod
Mungari,,,,MZ040403,Guro,,,,MZ0404,Manica,,,,MZ04,Moçambique,,,,MZ,2019-06-07,,3241.30370355,V_01,pt,,,,Mozambique,Mungari,-17.08850638,33.54881677,3308.79662975669
Munhamade,,,,MZ111003,Lugela,,,,MZ1110,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,1649.60043132,V_01,pt,,,,Mozambique,Munhamade,-16.49322288,37.01435973,31657.2615153194
Muoha,,,,MZ041002,Sussundenga,,,,MZ0410,Manica,,,,MZ04,Moçambique,,,,MZ,2019-06-07,,927.52263917,V_01,pt,,,,Mozambique,Muoha,-19.36346193,33.11298441,3214.28605528176
Murraça,,,,MZ090202,Caia,,,,MZ0902,Sofala,,,,MZ09,Moçambique,,,,MZ,2019-06-07,,681.78305147,V_01,pt,,,,Mozambique,Murraca,-17.6906188,35.0120356,3406.29011541605
Murrebue,,,,MZ010702,Mecufi,,,,MZ0107,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,614.92964735,V_01,pt,,,,Mozambique,Murrebue,-13.17042736,40.37042607,8722.18178078532
Murrupula,,,,MZ071802,Murrupula,,,,MZ0718,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,1957.96743683,V_01,pt,,,,Mozambique,Murrupula,-15.38259246,38.66900781,32888.1003939807
Mutivasse,,,,MZ072202,Rapale,,,,MZ0722,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,809.61403846,V_01,pt,,,,Mozambique,Mutivasse,-15.02821727,38.84116777,5903.25558903813
Mutuali,,,,MZ070803,Malema,,,,MZ0708,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,2007.26874218,V_01,pt,,,,Mozambique,Mutuali,-14.81298311,37.09660621,13794.395517379
Muxungue,,,,MZ090503,Chibabava,,,,MZ0905,Sofala,,,,MZ09,Moçambique,,,,MZ,2019-06-07,,3822.31692534,V_01,pt,,,,Mozambique,Muxungue,-20.60513996,34.02165068,21397.4816901982
Muze,,,,MZ101501,Zumbu,,,,MZ1015,Tete,,,,MZ10,Moçambique,,,,MZ,2019-06-07,,3320.31792527,V_01,pt,,,,Mozambique,Muze,-15.00468267,31.20024402,3851.49494871497
N'Cumpe,,,,MZ011404,Namuno,,,,MZ0114,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,720.64576997,V_01,pt,,,,Mozambique,NCumpe,-13.78317638,38.63627766,6015.77030402422
N'Gapa,,,,MZ011204,Mueda,,,,MZ0112,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,4492.71226844,V_01,pt,,,,Mozambique,NGapa,-11.43884848,39.15185232,7354.03896948695
Naburi,,,,MZ112302,Pebane,,,,MZ1123,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,3507.62459166,V_01,pt,,,,Mozambique,Naburi,-16.5926077,38.86225011,9490.90212234855
Nacala,,,,MZ071901,Nacala,,,,MZ0719,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,319.04633594,V_01,pt,,,,Mozambique,Nacala,-14.54667004,40.71799334,87360.4230901599
Nacala-A-Velha,,,,MZ072002,Nacala-A-Velha,,,,MZ0720,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,845.05191889,V_01,pt,,,,Mozambique,Nacala-A-Velha,-14.56299871,40.52377391,30117.2064260244
Nacaroa,,,,MZ072102,Nacaroa,,,,MZ0721,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,934.03060712,V_01,pt,,,,Mozambique,Nacaroa,-14.38320722,39.90027437,19721.8781604767
Nacumua,,,,MZ081502,Metarica,,,,MZ0815,Niassa,,,,MZ08,Moçambique,,,,MZ,2019-06-07,,2245.64333697,V_01,pt,,,,Mozambique,Nacumua,-14.41568809,37.16255545,4909.84753766656
Nairoto,,,,MZ011104,Montepuez,,,,MZ0111,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,12079.67895694,V_01,pt,,,,Mozambique,Nairoto,-12.45268952,38.65049922,437.855094898492
Nairrubi,,,,MZ080803,Majune,,,,MZ0808,Niassa,,,,MZ08,Moçambique,,,,MZ,2019-06-07,,3070.6907651,V_01,pt,,,,Mozambique,Nairrubi,-13.66152201,36.15081939,1302.04750049114
Nalazi,,,,MZ020804,Guija,,,,MZ0208,Gaza,,,,MZ02,Moçambique,,,,MZ,2019-06-07,,2215.28384097,V_01,pt,,,,Mozambique,Nalazi,-24.04149996,33.1570289,980.798330627382
Namaacha,,,,MZ050802,Namaacha,,,,MZ0508,Maputo,,,,MZ05,Moçambique,,,,MZ,2019-06-07,,1372.93077403,V_01,pt,,,,Mozambique,Namaacha,-25.94804141,32.1216682,13812.4085085019
Namacurra,,,,MZ112002,Namacurra,,,,MZ1120,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,1375.63780559,V_01,pt,,,,Mozambique,Namacurra,-17.41279346,37.0055802,47666.3087629676
Namaita,,,,MZ072203,Rapale,,,,MZ0722,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,821.76692485,V_01,pt,,,,Mozambique,Namaita,-15.23295807,38.96642871,13668.0073413551
Namanhumbir,,,,MZ011105,Montepuez,,,,MZ0111,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,653.87655498,V_01,pt,,,,Mozambique,Namanhumbir,-13.01791677,39.29504539,3287.1283108741
Namanjavira,,,,MZ111403,Mocuba,,,,MZ1114,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,3015.72225618,V_01,pt,,,,Mozambique,Namanjavira,-16.86219533,36.49828818,6523.51196116209
Namapa,,,,MZ070302,Erati,,,,MZ0703,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,2259.36282276,V_01,pt,,,,Mozambique,Namapa,-13.70864862,39.94006233,69975.2635434866
Namaponda,,,,MZ070104,Angoche,,,,MZ0701,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,740.18951794,V_01,pt,,,,Mozambique,Namaponda,-15.87835154,39.84533354,10113.8230101466
Namarroi,,,,MZ112101,Namarroi,,,,MZ1121,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,1373.35756564,V_01,pt,,,,Mozambique,Namarroi,-16.02469936,36.93591159,29140.4090218097
Nametil,,,,MZ071304,Mogovolas,,,,MZ0713,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,911.45889013,V_01,pt,,,,Mozambique,Nametil,-15.74638018,39.37042313,44504.1236427426
Namialo,,,,MZ070904,Meconta,,,,MZ0709,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,347.83495058,V_01,pt,,,,Mozambique,Namialo,-14.9531924,39.90810007,31869.1156986952
Namige,,,,MZ071201,Mogincual,,,,MZ0712,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,847.60213948,V_01,pt,,,,Mozambique,Namige,-15.60505418,40.26718516,14796.7273270488
Namina,,,,MZ071004,Mecuburi,,,,MZ0710,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,775.72447763,V_01,pt,,,,Mozambique,Namina,-14.74292649,38.60519818,9504.55059587956
